title,price,description,esrb_rating,genre,manufacturer,platform,release_date,weight,stock
F.I.S.T. Fist Forged in Shadows Day One Edition   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone_10_Plus,ACT/AD,MAXIMUM,PS5,04-Oct-22,0.4450 lbs,43
F1 22   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,RACING,EA,PS5,01-Jul-22,0.1750 lbs,23
F1 23   PlayStation 5 PS5,89.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,EA,PS5,16-Jun-23,14633382051,10
Fairy Fencer F Refrain Chord   PlayStation 5 PS5,69.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,RPG,IDEAFACT,PS5,25-Apr-23,0.1700 lbs,39
Fallen Legion Rise to Glory and Fallen Legion Revenants Deluxe Edition   PlayStation 5 PS5,69.99,,Everyone_10_Plus,ACTION,TECMO KOEI,PS5,23-Aug-22,0.2950 lbs,42
Far Cry 6   PlayStation 5 PS5,69.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Mature,FPS,UBISOFT,PS5,07-Oct-21,8.87256E+11,45
Farming Simulator 2022 Platinum Edition   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SIMULATION,GIANTS,PS5,15-Nov-22,0.1750 lbs,30
Farming Simulator 22   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SIMULATION,GIANTS,PS5,22-Nov-21,0.2600 lbs,49
Fate Samurai Remnant   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,RPG,TECMO KOEI,PS5,29-Sep-23,0.1750 lbs,4
FIFA 2022   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,EA,PS5,01-Oct-21,14633742602,32
